AID WBAN
10257 14735
10140 23050 
10397 13874
10423 13958
10577 04725
10581 14601
10599 13876
10693 13897
10721 14739
10732 11656
10785 14742
10792 14733
10800 23150
10821 93721
10868 03945
10990 03759
10994 13880
11042 14820
11057 13881
11066 14821
11193 03871
11252 12834
11259 13908
11278 93725
11292 23062
11298 03927
11433 94847
11503 23063
11537 14748
11618 14734
11697 12849
11986 94860
11995 13723
11996 03870
12173 22521
12191 12960
12197 94745
12264 13743
12265 04738
12266 12960
12339 93819
12391 04781
12397 64758
12441 24166
12451 13889
12478 94728
12889 23169
12892 23174
12945 93820
12953 94728
12954 23129
13198 03947
13204 12815
13232 94846
13303 12839
13342 14839
13487 14922
13495 12916
13502 93013
13577 93718
13796 23230
13871 94918
13930 94846
14025 64776
14027 12844
14057 24229
14100 13739
14107 23183
14122 94823
14254 11633
14262 93138
14321 14764
14492 13722
14524 13740
14570 23185
14576 14768
14635 12811
14679 23188
14683 12921
14685 03822
14730 93821
14747 24233
14771 23234
14831 23293
14843 11641
14869 24127
14893 23232
14986 12871
15016 13994
15024 11626
15070 14714
15096 14771
15304 12842
